country,trackID,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Austrialia,59,Chances - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,263293,21,0.46,0.118,0.46,0.537,0,0.859,-10.508,0.0367,105.958,4
Austrialia,60,Dance With Me - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,400480,40,0.483,0.00322,0.483,0.765,0.00523,0.48,-11.103,0.0398,129.721,4
Austrialia,61,Desert Sea Sky - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,284640,17,0.576,0.0244,0.576,0.546,0.688,0.698,-11.493,0.0331,128.035,4
Austrialia,62,Power of Love - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,293053,24,0.37,0.0391,0.37,0.68,0.000394,0.83,-8.91,0.0558,163.895,4
Austrialia,63,I Won't Stop Loving You - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,237293,41,0.513,0.263,0.513,0.505,0.0101,0.707,-11.086,0.0246,84.023,4
Austrialia,64,Two Less Lonely People - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,242240,44,0.447,0.522,0.447,0.456,1.05E-06,0.931,-10.215,0.0338,149.91,4
Austrialia,65,The One That You Love - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,427346,21,0.24,0.0854,0.24,0.504,1.15E-05,0.96,-10.807,0.0413,102.591,4
Austrialia,66,Lost In Love - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,290040,26,0.526,0.0247,0.526,0.724,0.000521,0.697,-10.652,0.0348,109.415,4
Austrialia,67,Sweet Dreams - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,312613,20,0.422,0.00182,0.422,0.593,0.00243,0.714,-9.146,0.0426,125.993,4
Austrialia,68,Making Love Out Of Nothing At All - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,509213,28,0.463,0.00595,0.463,0.609,0.000588,0.686,-11.723,0.0384,145.928,4
Austrialia,69,Goodbye - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,245693,27,0.311,0.053,0.311,0.408,7.46E-06,0.93,-11.562,0.0314,131.841,4
Austrialia,70,All Out Of Love - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,376133,30,0.187,0.0147,0.187,0.496,0.000169,0.905,-10.478,0.0431,202.421,4
Austrialia,71,Now and Forever (Live),Air Supply Live,Air Supply,3/10/2014,228482,0,0.507,0.84,0.507,0.309,0,0.695,-8.748,0.2,99.954,4
Austrialia,72,Shadow of the Sun / Sweet Dreams (Medley) [Live],Air Supply Live,Air Supply,3/10/2014,441363,0,0.357,0.29,0.357,0.718,0,0.711,-6.245,0.0384,125.512,4
Austrialia,73,Even the Nights Are Better (Live),Air Supply Live,Air Supply,3/10/2014,260271,0,0.691,0.358,0.691,0.794,0,0.753,-6.077,0.0376,115.823,4
Austrialia,74,Here I Am (Just When I Thought I Was over You) [Live],Air Supply Live,Air Supply,3/10/2014,297724,0,0.475,0.648,0.475,0.456,0,0.44,-8.222,0.0368,132.417,4
Austrialia,75,Chances (Live),Air Supply Live,Air Supply,3/10/2014,257740,0,0.579,0.393,0.579,0.605,6.13E-06,0.167,-7.35,0.0284,105.932,4
Austrialia,76,Someone (Live),Air Supply Live,Air Supply,3/10/2014,298630,0,0.511,0.648,0.511,0.547,1.41E-05,0.468,-8.341,0.0349,92.835,4
Austrialia,77,Miracles (Live),Air Supply Live,Air Supply,3/10/2014,318808,0,0.506,0.615,0.506,0.477,4.31E-06,0.981,-8.053,0.0283,140.14,4
